mag_id	mag_name	edger_trend	hmsc_trend	domain	phylum	class	order	family	genus	species
ERR4336989bin.122	cmag_266	stable	decreaser	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio sp900556755
ERR4336989bin.124	cmag_267	decreaser	increaser	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus agilis
ERR4336989bin.13	cmag_268	increaser	stable	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium_A	NA
ERR4336989bin.2	cmag_269	increaser	stable	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ERR4336989bin.22	cmag_270	decreaser	stable	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	NA
ERR4336989bin.33	cmag_271	increaser	stable	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola barnesiae
ERR4336989bin.57	cmag_272	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	NA
ERR4336989bin.58	cmag_273	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA3402	NA
ERR4336989bin.74	cmag_274	increaser	stable	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter_A	Methanobrevibacter_A woesei
ERR4336989bin.75	cmag_275	increaser	increaser	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Holdemania	NA
ERR4336989bin.79	cmag_276	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	NA	NA
ERR4336989bin.8	cmag_277	increaser	increaser	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Mailhella	Mailhella sp900555975
ERR4336989bin.81	cmag_278	stable	stable	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ERR4336989bin.82	cmag_279	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	Firm-11	Firm-11 sp900540045
ERR4336989bin.97	cmag_280	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA11517	NA
ERR4835843_bin.17	cmag_281	decreaser	stable	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	Borkfalkia	NA
ERR4835843_bin.18	cmag_282	decreaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UMGS1004	UMGS1004 sp900547645
ERR4835846_bin.12	cmag_283	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UMGS1004	NA
ERR4835846_bin.20	cmag_284	increaser	increaser	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UMGS1572	UMGS1572 sp900553045
ERR4835846_bin.27	cmag_285	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA5446	NA
ERR4835846_bin.30	cmag_286	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UMGS1004	NA
ERR4835846_bin.32	cmag_287	increaser	increaser	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-451	NA
ERR4835847_bin.22	cmag_288	decreaser	stable	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA4871	NA
ERR4835848_bin.12	cmag_289	increaser	stable	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	CAG-110	NA
ERR4835848_bin.3	cmag_290	increaser	increaser	Bacteria	Firmicutes	Bacilli	RF39	UBA660	UMGS2068	NA
ERR4835851_bin.23	cmag_291	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Clostridium_A	NA
ERR4835851_bin.26	cmag_292	decreaser	stable	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-269	NA
ERR4835853_bin.15	cmag_293	decreaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA3700	CABKMX01	NA
ERR4835853_bin.4	cmag_294	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA6345	NA
ERR4835854_bin.13	cmag_295	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	NA
ERR4835856_bin.17	cmag_296	decreaser	stable	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-354	CAG-354 sp001915925
ERR4835857_bin.2	cmag_297	increaser	stable	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA11940	NA
ERR4835858_bin.17	cmag_298	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Anaerosacchariphilus	Anaerosacchariphilus sp002160765
ERR4835858_bin.25	cmag_299	increaser	increaser	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Massilicoli	Massilicoli timonensis
ERR4835858_bin.7	cmag_300	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UMGS1872	NA
ERR4835859_bin.17	cmag_301	increaser	increaser	Bacteria	Firmicutes	Bacilli	RF39	UBA660	HGM10873	HGM10873 sp900753645
ERR4835860_bin.12	cmag_302	decreaser	increaser	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-451	NA
ERR4835860_bin.27	cmag_303	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA4626	NA
ERR4835861_bin.18	cmag_304	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	NA
ERR4835861_bin.32	cmag_305	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA6345	NA
ERR4835861_bin.33	cmag_306	increaser	stable	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Pseudoflavonifractor	NA
ERR4835861_bin.40	cmag_307	increaser	stable	Bacteria	Firmicutes	Bacilli	RF39	UBA660	HGM10873	NA
ERR4835863_bin.21	cmag_308	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Anaerotignaceae	ASF356	NA
ERR4835864_bin.19	cmag_309	increaser	stable	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	NA
ERR4835864_bin.21	cmag_310	increaser	stable	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	NA
ERR4835864_bin.23	cmag_311	increaser	increaser	Bacteria	Firmicutes	Bacilli	RF39	UBA660	HGM10873	NA
ERR4835864_bin.28	cmag_312	increaser	increaser	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	Zag1	Zag1 sp000438175
ERR4835864_bin.33	cmag_313	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	UBA7001	UBA7001 sp900553685
ERR4835864_bin.34	cmag_314	increaser	increaser	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides congonensis
ERR4835864_bin.40	cmag_315	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia_A	NA
ERR4835866_bin.13	cmag_316	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA11517	NA
ERR4835866_bin.35	cmag_317	stable	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA11517	NA
ERR4835866_bin.4	cmag_318	increaser	increaser	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-451	NA
ERR4835866_bin.40	cmag_319	increaser	increaser	Bacteria	Firmicutes	Bacilli	RF39	UBA660	HGM10818	NA
ERR4835867_bin.13	cmag_320	increaser	increaser	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola dorei
ERR4835868_bin.3	cmag_321	increaser	stable	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	Borkfalkia	NA
ERR4835868_bin.6	cmag_322	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	NA
ERR4835869_bin.10	cmag_323	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	NA
ERR4835869_bin.30	cmag_324	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	NA
ERR4835869_bin.4	cmag_325	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	Butyricicoccus sp900604335
ERR4835869_bin.45	cmag_326	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	NA
ERR4835869_bin.47	cmag_327	decreaser	decreaser	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus
ERR4835870_bin.17	cmag_328	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA5446	NA
ERR4835871_bin.25	cmag_329	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UMGS1826	NA
ERR4835871_bin.4	cmag_330	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	Borkfalkia	NA
ERR4835932_bin.29	cmag_331	increaser	increaser	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	QAMI01	NA
ERR4835932_bin.32	cmag_332	stable	stable	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter_D	Helicobacter_D pullorum
ERR4835932_bin.7	cmag_333	increaser	stable	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	Gastranaerophilaceae	CAG-484	NA
ERR4835933_bin.1	cmag_334	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	NA
ERR4835934_bin.22	cmag_335	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	Faecalibacterium sp002160895
ERR4835934_bin.5	cmag_336	increaser	increaser	Bacteria	Cyanobacteria	Vampirovibrionia	Gastranaerophilales	NA	NA	NA
ERR4835935_bin.24	cmag_337	decreaser	stable	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	NA
ERR4835935_bin.42	cmag_338	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Butyricicoccaceae	Agathobaculum	NA
ERR4835990_bin.24	cmag_339	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	Borkfalkia	NA
ERR4835990_bin.26	cmag_340	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	TANB77	CAG-508	CAG-273	NA
ERR4835990_bin.33	cmag_341	decreaser	stable	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA
ERR4835990_bin.4	cmag_342	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	Borkfalkia	NA
ERR4835991_bin.6	cmag_343	decreaser	stable	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UBA1375	NA
ERR4835993_bin.14	cmag_344	stable	increaser	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
ERR4835993_bin.35	cmag_345	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	NA
ERR4835993_bin.38	cmag_346	decreaser	stable	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA11940	NA
ERR4835994_bin.28	cmag_347	stable	increaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Dysosmobacter	NA
ERR4835994_bin.32	cmag_348	increaser	increaser	Bacteria	Firmicutes	Bacilli	RF39	UBA660	CAG-988	CAG-988 sp003149915
ERR4835994_bin.4	cmag_349	decreaser	decreaser	Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Mediterraneibacter	NA
ERR4835995_bin.4	cmag_350	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA11517	NA
ERR4835995_bin.52	cmag_351	increaser	increaser	Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	UMGS1600	UMGS1600 sp900553295
ERR4835995_bin.58	cmag_352	increaser	increaser	Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	UBA1448	NA
